Title,Authors,Source_Title,Publication_Year,DOI,Notes,country,region,level_of_data_collection,collection_method,confience,location_of_data_extraction,time_for_time_series,SPECIES,growth_type,taxa,Environment,MIN,MAX,AVERAGE,UNITS,SYSTEM notes,system,mean_tonnes_ha_year,fishprint_taxa,cal_100_g,p_100_g
Commercial production of carrageenophytes in the Philippines: ensuring long-term sustainability for the industry,"Hurtado, Anicia Q.; Montano, Marco Nemesio E.; Martinez-Goss, Milagrosa R.",JOURNAL OF APPLIED PHYCOLOGY,2013,10.1007/s10811-012-9945-7,the reference white papers or technical papers (one of which I can't find),philippines,asia (not china),region,,low,Table4,2008,,monoculture,algae,sw,,,1400000,mt/ha/year wet weight,(1) the fixed-off bottom line and (2) the raft or floating method.,on or off bottom,1400000,,,
Commercial production of carrageenophytes in the Philippines: ensuring long-term sustainability for the industry,"Hurtado, Anicia Q.; Montano, Marco Nemesio E.; Martinez-Goss, Milagrosa R.",JOURNAL OF APPLIED PHYCOLOGY,2013,10.1007/s10811-012-9945-7,the reference white papers or technical papers (one of which I can't find),philippines,asia (not china),region,,low,Table4,2008,,monoculture,algae,sw,,,900000,mt/ha/year wet weight,(1) the fixed-off bottom line and (2) the raft or floating method.,on or off bottom,900000,,,
Commercial production of carrageenophytes in the Philippines: ensuring long-term sustainability for the industry,"Hurtado, Anicia Q.; Montano, Marco Nemesio E.; Martinez-Goss, Milagrosa R.",JOURNAL OF APPLIED PHYCOLOGY,2013,10.1007/s10811-012-9945-7,the reference white papers or technical papers (one of which I can't find),philippines,asia (not china),region,,low,Table4,2008,,monoculture,algae,sw,,,450000,mt/ha/year wet weight,(1) the fixed-off bottom line and (2) the raft or floating method.,on or off bottom,450000,,,
"Integrated macroalgae production for sustainable bioethanol, aquaculture and agriculture in Pacific island nations","Borines, Myra G.; McHenry, Mark P.; de Leon, Rizalinda L.",BIOFUELS BIOPRODUCTS & BIOREFINING-BIOFPR,2011,10.1002/bbb.310,They are reporting other people's data...,japan,asia (not china),,,low,pg 603,2007,Sargassum,,algae,sw,,,3348,mt km–2 y–1 wet weight ,unknown system,,334800,,,
Commercial production of carrageenophytes in the Philippines: ensuring long-term sustainability for the industry,"Hurtado, Anicia Q.; Montano, Marco Nemesio E.; Martinez-Goss, Milagrosa R.",JOURNAL OF APPLIED PHYCOLOGY,2013,10.1007/s10811-012-9945-7,the reference white papers or technical papers (one of which I can't find),philippines,asia (not china),region,,low,Table4,2008,,monoculture,algae,sw,,,225000,mt/ha/year wet weight,(1) the fixed-off bottom line and (2) the raft or floating method.,on or off bottom,225000,,,
Commercial production of carrageenophytes in the Philippines: ensuring long-term sustainability for the industry,"Hurtado, Anicia Q.; Montano, Marco Nemesio E.; Martinez-Goss, Milagrosa R.",JOURNAL OF APPLIED PHYCOLOGY,2013,10.1007/s10811-012-9945-7,the reference white papers or technical papers (one of which I can't find),philippines,asia (not china),region,,low,Table4,1999,,monoculture,algae,sw,,,75000,mt/ha/year wet weight,(1) the fixed-off bottom line and (2) the raft or floating method.,on or off bottom,75000,,,
Commercial production of carrageenophytes in the Philippines: ensuring long-term sustainability for the industry,"Hurtado, Anicia Q.; Montano, Marco Nemesio E.; Martinez-Goss, Milagrosa R.",JOURNAL OF APPLIED PHYCOLOGY,2013,10.1007/s10811-012-9945-7,the reference white papers or technical papers (one of which I can't find),philippines,asia (not china),region,,low,Table4,1999,,monoculture,algae,sw,,,43000,mt/ha/year wet weight,(1) the fixed-off bottom line and (2) the raft or floating method.,on or off bottom,43000,,,
Commercial production of carrageenophytes in the Philippines: ensuring long-term sustainability for the industry,"Hurtado, Anicia Q.; Montano, Marco Nemesio E.; Martinez-Goss, Milagrosa R.",JOURNAL OF APPLIED PHYCOLOGY,2013,10.1007/s10811-012-9945-7,the reference white papers or technical papers (one of which I can't find),philippines,asia (not china),region,,low,Table4,1999,,monoculture,algae,sw,,,28000,mt/ha/year wet weight,(1) the fixed-off bottom line and (2) the raft or floating method.,on or off bottom,28000,,,
Commercial production of carrageenophytes in the Philippines: ensuring long-term sustainability for the industry,"Hurtado, Anicia Q.; Montano, Marco Nemesio E.; Martinez-Goss, Milagrosa R.",JOURNAL OF APPLIED PHYCOLOGY,2013,10.1007/s10811-012-9945-7,the reference white papers or technical papers (one of which I can't find),philippines,asia (not china),region,,low,Table4,1999,,monoculture,algae,sw,,,9000,mt/ha/year wet weight,(1) the fixed-off bottom line and (2) the raft or floating method.,on or off bottom,9000,,,
"Projections for profitability assessment parameters under short-term, medium-term and long-term evaluation for three farming techniques of Kappaphycus alvarezii along eastern coast of India","Mantri, VA; Dineshkumar, R; Yadav, A; Eswaran, K; Shanmugam, M; Gajaria, TK",AQUACULTURE,2022,10.1016/j.aquaculture.2022.737912,"3 x 3 m raft; 5 harvests per year, 282 kg per raft; other harvest methods don't have area",india,asia (not china),farm,,low,table1,,kappaphycus alvarezii,,algae,sw,,,156.6666667,kg/m2/y,raft,on or off bottom,1566.666667,,,
